date,watch_time_minutes,views,youtube_red_watch_time_minutes,youtube_red_views,average_view_duration,card_clicks,cards_shown,clicks_per_card_shown,card_teaser_clicks,card_teasers_shown,clicks_per_card_teaser_shown,end_screen_elements_shown,end_screen_element_clicks,clicks_per_end_screen_element_shown,estimated_partner_revenue_usd,estimated_partner_ad_revenue_usd,estimated_partner_adsense_revenue_usd,estimated_partner_doubleclick_revenue_usd,partner_transaction_revenue_usd,transactions,partner_revenue_per_transaction_usd,estimated_monetized_playbacks,playback_based_cpm_usd,ad_impressions,cpm_usd,youtube_ad_revenue_usd,youtube_red_partner_revenue_usd,youtube_red_watch_time_hours,annotation_clicks,clickable_annotations_shown,annotation_click_through_rate,annotation_closes,closable_annotations_shown,annotation_close_rate,annotations_shown,videos_published,videos_added,likes,likes_added,likes_removed,dislikes,dislikes_added,dislikes_removed,shares,comments,videos_in_playlists,videos_added_to_playlists,videos_removed_from_playlists,subscribers,subscribers_gained,subscribers_lost,average_percentage_viewed,watch_time_hours
2013-04-16,0,1,0,0,0.0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2013-04-18,2,1,0,0,1.8,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.16,0
2013-04-26,3,2,0,0,1.6,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,5,5,0,51.02,0
2013-04-30,0,0,0,0,0.0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.00,0
2013-05-03,1,1,0,0,0.8,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,24.92,0
2013-05-22,0,1,0,0,0.0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2013-05-31,3,5,0,0,0.7,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.45,0
2013-06-01,1,2,0,0,0.4,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,2,2,0,0,0,0,0,0,0,0,0,2,2,0,48.09,0
2013-06-02,1,2,0,0,0.3,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.67,0
2013-06-04,4,5,0,0,0.9,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.18,0
2013-06-07,1,1,0,0,0.8,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.95,0
2013-06-09,0,3,0,0,0.0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0
2013-06-10,3,3,0,0,1.1,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.33,0
2013-06-11,0,1,0,0,0.5,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.74,0
2013-06-12,3,2,0,0,1.7,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.45,0
2013-06-13,0,1,0,0,0.0,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0
2013-06-14,4,2,0,0,1.8,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.54,0
2013-06-15,2,3,0,0,0.6,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.63,0
2013-06-16,1,3,0,0,0.3,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9.60,0
2013-06-18,11,12,0,0,0.9,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,2,0,0,0,0,1,1,0,25.02,0
2013-06-19,3,3,0,0,1.1,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.64,0
2013-06-20,1,2,0,0,0.6,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.12,0
2013-06-21,41,17,0,0,2.4,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.44,1
2013-06-22,1,2,0,0,0.6,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.47,0
2013-06-23,11,5,0,0,2.3,0,0,0.00,0,0,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0,0,0,0.00,0,0,0.00,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.54,0
